time,tl_id,current_phase,current_demand,best_phase,best_demand,action
732,cluster_1345077844_2589681474_8228683608_8228683609,0,17,0,17,TIMEOUT
735,cluster_1345077844_2589681474_8228683608_8228683609,0,16,0,16,HOLD
738,cluster_1345077844_2589681474_8228683608_8228683609,0,15,0,15,HOLD
741,cluster_1345077844_2589681474_8228683608_8228683609,0,13,0,13,HOLD
744,cluster_1345077844_2589681474_8228683608_8228683609,0,12,0,12,HOLD
747,cluster_1345077844_2589681474_8228683608_8228683609,0,10,0,10,HOLD
750,cluster_1345077844_2589681474_8228683608_8228683609,0,9,0,9,HOLD
753,cluster_1345077844_2589681474_8228683608_8228683609,0,8,4,9,HOLD
756,cluster_1345077844_2589681474_8228683608_8228683609,0,8,4,9,HOLD
759,cluster_1345077844_2589681474_8228683608_8228683609,0,8,4,9,HOLD
762,cluster_1345077844_2589681474_8228683608_8228683609,4,7,4,9,CHANGE
765,cluster_1345077844_2589681474_8228683608_8228683609,4,8,6,9,HOLD
768,cluster_1345077844_2589681474_8228683608_8228683609,0,7,0,9,CHANGE
771,cluster_1345077844_2589681474_8228683608_8228683609,0,9,0,9,HOLD
774,cluster_1345077844_2589681474_8228683608_8228683609,0,9,0,9,HOLD
777,cluster_1345077844_2589681474_8228683608_8228683609,6,7,6,9,CHANGE
780,cluster_1345077844_2589681474_8228683608_8228683609,6,7,4,9,HOLD
783,cluster_1345077844_2589681474_8228683608_8228683609,0,5,0,9,CHANGE
786,cluster_1345077844_2589681474_8228683608_8228683609,0,9,0,9,HOLD
789,cluster_1345077844_2589681474_8228683608_8228683609,0,9,0,9,HOLD
792,cluster_1345077844_2589681474_8228683608_8228683609,0,8,4,9,HOLD
795,cluster_1345077844_2589681474_8228683608_8228683609,0,8,4,9,HOLD
798,cluster_1345077844_2589681474_8228683608_8228683609,0,8,4,9,HOLD
801,cluster_1345077844_2589681474_8228683608_8228683609,4,7,4,9,CHANGE
804,cluster_1345077844_2589681474_8228683608_8228683609,4,8,6,9,HOLD
807,cluster_1345077844_2589681474_8228683608_8228683609,0,6,0,9,CHANGE
810,cluster_1345077844_2589681474_8228683608_8228683609,0,9,0,9,HOLD
813,cluster_1345077844_2589681474_8228683608_8228683609,0,9,0,9,HOLD
816,cluster_1345077844_2589681474_8228683608_8228683609,0,8,6,9,HOLD
819,cluster_1345077844_2589681474_8228683608_8228683609,0,8,4,9,HOLD
822,cluster_1345077844_2589681474_8228683608_8228683609,0,8,4,9,HOLD
825,cluster_1345077844_2589681474_8228683608_8228683609,4,7,4,9,CHANGE
828,cluster_1345077844_2589681474_8228683608_8228683609,4,8,6,9,HOLD
831,cluster_1345077844_2589681474_8228683608_8228683609,0,7,0,9,CHANGE
834,cluster_1345077844_2589681474_8228683608_8228683609,0,9,0,9,HOLD
837,cluster_1345077844_2589681474_8228683608_8228683609,0,9,0,9,HOLD
840,cluster_1345077844_2589681474_8228683608_8228683609,0,8,4,9,HOLD
843,cluster_1345077844_2589681474_8228683608_8228683609,0,8,4,9,HOLD
846,cluster_1345077844_2589681474_8228683608_8228683609,0,8,4,9,HOLD
849,cluster_1345077844_2589681474_8228683608_8228683609,4,7,4,9,CHANGE
852,cluster_1345077844_2589681474_8228683608_8228683609,4,8,6,9,HOLD
855,cluster_1345077844_2589681474_8228683608_8228683609,0,7,0,9,CHANGE
858,cluster_1345077844_2589681474_8228683608_8228683609,0,9,0,9,HOLD
861,cluster_1345077844_2589681474_8228683608_8228683609,0,9,0,9,HOLD
864,cluster_1345077844_2589681474_8228683608_8228683609,0,8,4,9,HOLD
867,cluster_1345077844_2589681474_8228683608_8228683609,4,7,4,9,CHANGE
870,cluster_1345077844_2589681474_8228683608_8228683609,4,8,6,9,HOLD
873,cluster_1345077844_2589681474_8228683608_8228683609,0,7,0,9,CHANGE
876,cluster_1345077844_2589681474_8228683608_8228683609,0,9,0,9,HOLD
879,cluster_1345077844_2589681474_8228683608_8228683609,0,9,0,9,HOLD
882,cluster_1345077844_2589681474_8228683608_8228683609,0,8,4,9,HOLD
885,cluster_1345077844_2589681474_8228683608_8228683609,0,8,4,9,HOLD
888,cluster_1345077844_2589681474_8228683608_8228683609,0,8,4,9,HOLD
891,cluster_1345077844_2589681474_8228683608_8228683609,4,7,4,9,CHANGE
894,cluster_1345077844_2589681474_8228683608_8228683609,4,8,6,9,HOLD
897,cluster_1345077844_2589681474_8228683608_8228683609,6,7,6,9,CHANGE
900,cluster_1345077844_2589681474_8228683608_8228683609,6,7,0,8,HOLD
903,cluster_1345077844_2589681474_8228683608_8228683609,0,4,0,8,CHANGE
906,cluster_1345077844_2589681474_8228683608_8228683609,0,8,4,9,HOLD
909,cluster_1345077844_2589681474_8228683608_8228683609,4,7,4,9,CHANGE
912,cluster_1345077844_2589681474_8228683608_8228683609,4,8,0,8,HOLD
915,cluster_1345077844_2589681474_8228683608_8228683609,6,7,6,9,CHANGE
918,cluster_1345077844_2589681474_8228683608_8228683609,6,9,0,9,HOLD
921,cluster_1345077844_2589681474_8228683608_8228683609,0,7,0,10,CHANGE
924,cluster_1345077844_2589681474_8228683608_8228683609,0,9,0,9,HOLD
927,cluster_1345077844_2589681474_8228683608_8228683609,0,9,6,10,HOLD
930,cluster_1345077844_2589681474_8228683608_8228683609,6,8,6,10,CHANGE
933,cluster_1345077844_2589681474_8228683608_8228683609,6,9,4,9,HOLD
936,cluster_1345077844_2589681474_8228683608_8228683609,4,7,4,9,CHANGE
939,cluster_1345077844_2589681474_8228683608_8228683609,4,8,0,8,HOLD
942,cluster_1345077844_2589681474_8228683608_8228683609,0,7,0,9,CHANGE
945,cluster_1345077844_2589681474_8228683608_8228683609,0,8,6,11,HOLD
948,cluster_1345077844_2589681474_8228683608_8228683609,6,7,6,11,CHANGE
951,cluster_1345077844_2589681474_8228683608_8228683609,6,9,4,9,HOLD
954,cluster_1345077844_2589681474_8228683608_8228683609,4,7,4,9,CHANGE
957,cluster_1345077844_2589681474_8228683608_8228683609,4,8,0,9,HOLD
960,cluster_1345077844_2589681474_8228683608_8228683609,0,6,0,10,CHANGE
963,cluster_1345077844_2589681474_8228683608_8228683609,0,10,0,10,HOLD
966,cluster_1345077844_2589681474_8228683608_8228683609,6,9,6,11,CHANGE
969,cluster_1345077844_2589681474_8228683608_8228683609,6,10,0,10,HOLD
972,cluster_1345077844_2589681474_8228683608_8228683609,0,8,0,11,CHANGE
975,cluster_1345077844_2589681474_8228683608_8228683609,0,11,0,11,HOLD
978,cluster_1345077844_2589681474_8228683608_8228683609,0,10,0,10,HOLD
981,cluster_1345077844_2589681474_8228683608_8228683609,6,9,6,11,CHANGE
984,cluster_1345077844_2589681474_8228683608_8228683609,6,10,0,10,HOLD
987,cluster_1345077844_2589681474_8228683608_8228683609,0,8,0,11,CHANGE
990,cluster_1345077844_2589681474_8228683608_8228683609,0,11,0,11,HOLD
993,cluster_1345077844_2589681474_8228683608_8228683609,0,11,0,11,HOLD
996,cluster_1345077844_2589681474_8228683608_8228683609,0,11,0,11,HOLD
999,cluster_1345077844_2589681474_8228683608_8228683609,0,10,6,11,HOLD
1002,cluster_1345077844_2589681474_8228683608_8228683609,0,10,6,11,HOLD
1005,cluster_1345077844_2589681474_8228683608_8228683609,0,10,6,11,HOLD
1008,cluster_1345077844_2589681474_8228683608_8228683609,0,10,6,11,HOLD
1011,cluster_1345077844_2589681474_8228683608_8228683609,6,9,6,11,CHANGE
1014,cluster_1345077844_2589681474_8228683608_8228683609,6,9,0,10,HOLD
1017,cluster_1345077844_2589681474_8228683608_8228683609,0,8,0,10,CHANGE
1020,cluster_1345077844_2589681474_8228683608_8228683609,0,10,0,10,HOLD
1023,cluster_1345077844_2589681474_8228683608_8228683609,0,9,6,10,HOLD
1026,cluster_1345077844_2589681474_8228683608_8228683609,6,8,6,10,CHANGE
1029,cluster_1345077844_2589681474_8228683608_8228683609,6,8,0,9,HOLD
1032,cluster_1345077844_2589681474_8228683608_8228683609,0,5,0,10,CHANGE
1035,cluster_1345077844_2589681474_8228683608_8228683609,0,10,0,10,HOLD
1038,cluster_1345077844_2589681474_8228683608_8228683609,0,10,0,10,HOLD
1041,cluster_1345077844_2589681474_8228683608_8228683609,0,8,4,9,HOLD
1044,cluster_1345077844_2589681474_8228683608_8228683609,6,8,6,10,CHANGE
1047,cluster_1345077844_2589681474_8228683608_8228683609,6,9,0,9,HOLD
1050,cluster_1345077844_2589681474_8228683608_8228683609,0,7,0,10,CHANGE
1053,cluster_1345077844_2589681474_8228683608_8228683609,0,10,0,10,HOLD
